,idx,rep,n,m,pval,causal_effect,hyp_test
0,0,0,10000,3.1622776601683795,0.499617402440953,0.0,0
1,0,1,10000,3.1622776601683795,0.36093945759809415,0.0,0
2,0,2,10000,3.1622776601683795,0.023730140801663854,0.0,0
3,0,3,10000,3.1622776601683795,0.28762235064926955,0.0,0
4,0,4,10000,3.1622776601683795,0.3836649349036282,0.0,0
5,0,5,10000,3.1622776601683795,0.40121892353123034,0.0,0
6,0,6,10000,3.1622776601683795,0.16050501692840066,0.0,0
7,0,7,10000,3.1622776601683795,0.7181775968711022,0.0,1
8,0,8,10000,3.1622776601683795,0.0008685115249503536,0.0,0
9,0,9,10000,3.1622776601683795,0.4391218198736528,0.0,0
10,0,10,10000,3.1622776601683795,0.8726182114108705,0.0,0
11,0,11,10000,3.1622776601683795,0.5232025977761562,0.0,0
12,0,12,10000,3.1622776601683795,0.6509815243028744,0.0,0
13,0,13,10000,3.1622776601683795,0.81238742809406,0.0,0
14,0,14,10000,3.1622776601683795,0.767941641618661,0.0,0
15,0,15,10000,3.1622776601683795,0.19321545818650465,0.0,0
16,0,16,10000,3.1622776601683795,0.5470638485739088,0.0,0
17,0,17,10000,3.1622776601683795,0.8468278365439911,0.0,0
18,0,18,10000,3.1622776601683795,0.9740072622189437,0.0,0
19,0,19,10000,3.1622776601683795,0.46685529836808576,0.0,0
20,0,20,10000,3.1622776601683795,0.6823371114940749,0.0,0
21,0,21,10000,3.1622776601683795,0.83706700024926,0.0,0
22,0,22,10000,3.1622776601683795,0.9260095810901984,0.0,0
23,0,23,10000,3.1622776601683795,0.7191949232986888,0.0,0
24,0,24,10000,3.1622776601683795,0.07589066414760606,0.0,0
25,0,25,10000,3.1622776601683795,0.3480139054281441,0.0,0
26,0,26,10000,3.1622776601683795,0.2628877925581471,0.0,0
27,0,27,10000,3.1622776601683795,0.1256963799057036,0.0,0
28,0,28,10000,3.1622776601683795,0.26709085298666607,0.0,0
29,0,29,10000,3.1622776601683795,0.6927426368468695,0.0,0
30,0,30,10000,3.1622776601683795,0.21494562962679203,0.0,0
31,0,31,10000,3.1622776601683795,0.061101985980521946,0.0,0
32,0,32,10000,3.1622776601683795,0.23991683956228996,0.0,0
33,0,33,10000,3.1622776601683795,0.8599533371992928,0.0,0
34,0,34,10000,3.1622776601683795,0.9125771768902664,0.0,0
35,0,35,10000,3.1622776601683795,0.8585596055765277,0.0,0
36,0,36,10000,3.1622776601683795,0.08780055867688089,0.0,0
37,0,37,10000,3.1622776601683795,0.8234532353667585,0.0,0
38,0,38,10000,3.1622776601683795,0.9650217408888603,0.0,0
39,0,39,10000,3.1622776601683795,0.2045396218044368,0.0,0
40,0,40,10000,3.1622776601683795,0.30944056740721215,0.0,0
41,0,41,10000,3.1622776601683795,0.7737915576658227,0.0,0
42,0,42,10000,3.1622776601683795,0.6562279188685909,0.0,0
43,0,43,10000,3.1622776601683795,0.7357700593214547,0.0,0
44,0,44,10000,3.1622776601683795,0.13599046303422327,0.0,0
45,0,45,10000,3.1622776601683795,0.6111355636256541,0.0,0
46,0,46,10000,3.1622776601683795,0.47914229169124933,0.0,0
47,0,47,10000,3.1622776601683795,0.21892385205395049,0.0,0
48,0,48,10000,3.1622776601683795,0.8722603927857253,0.0,0
49,0,49,10000,3.1622776601683795,0.3132350350447331,0.0,1
50,0,50,10000,3.1622776601683795,0.11543762362447675,0.0,0
51,0,51,10000,3.1622776601683795,0.42976794972954074,0.0,0
52,0,52,10000,3.1622776601683795,0.8718402485796946,0.0,0
53,0,53,10000,3.1622776601683795,0.23967154801298804,0.0,0
54,0,54,10000,3.1622776601683795,0.2000178158107121,0.0,0
55,0,55,10000,3.1622776601683795,0.00537953595441291,0.0,0
56,0,56,10000,3.1622776601683795,0.39290723021390916,0.0,0
57,0,57,10000,3.1622776601683795,0.16248503384046453,0.0,0
58,0,58,10000,3.1622776601683795,0.4077030804107576,0.0,0
59,0,59,10000,3.1622776601683795,0.6533162852336666,0.0,0
60,0,60,10000,3.1622776601683795,0.186812114206023,0.0,0
61,0,61,10000,3.1622776601683795,0.8420665678883548,0.0,0
62,0,62,10000,3.1622776601683795,0.9882921933794419,0.0,0
63,0,63,10000,3.1622776601683795,0.9771820781176586,0.0,0
64,0,64,10000,3.1622776601683795,0.6089836911817422,0.0,0
65,0,65,10000,3.1622776601683795,0.14023222565918503,0.0,0
66,0,66,10000,3.1622776601683795,0.5743443039551278,0.0,0
67,0,67,10000,3.1622776601683795,0.27976347405541,0.0,0
68,0,68,10000,3.1622776601683795,0.2982646651028721,0.0,0
69,0,69,10000,3.1622776601683795,0.8122808821575381,0.0,0
70,0,70,10000,3.1622776601683795,0.48102159332410077,0.0,0
71,0,71,10000,3.1622776601683795,0.0445952371698542,0.0,0
72,0,72,10000,3.1622776601683795,0.8689132193406935,0.0,0
73,0,73,10000,3.1622776601683795,0.8666130048651104,0.0,0
74,0,74,10000,3.1622776601683795,0.20429626543929086,0.0,0
75,0,75,10000,3.1622776601683795,0.8108358866923505,0.0,0
76,0,76,10000,3.1622776601683795,0.29018961502447105,0.0,0
77,0,77,10000,3.1622776601683795,0.9832068261288252,0.0,0
78,0,78,10000,3.1622776601683795,0.5688407114519184,0.0,0
79,0,79,10000,3.1622776601683795,0.8054023248673893,0.0,0
80,0,80,10000,3.1622776601683795,0.5853156537437675,0.0,0
81,0,81,10000,3.1622776601683795,0.4358888639441068,0.0,0
82,0,82,10000,3.1622776601683795,0.5974420339619014,0.0,0
83,0,83,10000,3.1622776601683795,0.8089054564677503,0.0,0
